"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"P_DR2TOT","DR2_300","DR2_300","Compare food consumed yesterday to usual","Was the amount of food that {you/NAME} ate yesterday much more than usual usual or much less than usual?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Much more than usual"", ""Usual"", ""Much less than usual"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""679"", ""8581"", ""1622"", ""0"", ""54"", ""3364""]; Cumulative=[""679"", ""9260"", ""10882"", ""10882"", ""10936"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_DR2TOT","DR2SKY","DR2SKY","Type of salt used yesterday","What type of salt was it? (Was it ordinary or sea salt lite salt or a salt substitute?)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""91"", ""99"", "".""]; Value.Description=[""Ordinary, sea, seasoned, or other flavored salt"", ""Lite salt"", ""Salt substitute"", ""Other"", ""Don't know"", ""Missing""]; Count=[""1523"", ""41"", ""36"", ""0"", ""45"", ""12655""]; Cumulative=[""1523"", ""1564"", ""1600"", ""1600"", ""1645"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_DR2TOT","DR2STY","DR2STY","Salt used at table yesterday?","Did {you/SP} add any salt to {your/her/his} food at the table yesterday? Salt includes ordinary or sea salt lite salt or a salt substitute.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Don't know"", ""Missing""]; Count=[""1645"", ""9254"", ""37"", ""3364""]; Cumulative=[""1645"", ""10899"", ""10936"", ""14300""]; Skip.to.Item=["""", ""DR2TKCAL"", ""DR2TKCAL"", """"]"
"P_DR2TOT","DR2TACAR","DR2TACAR","Alpha-carotene (mcg)","Alpha-carotene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 93941"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TALCO","DR2TALCO","Alcohol (gm)","Alcohol (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 443.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TATOA","DR2TATOA","Added alpha-tocopherol (Vitamin E) (mg)","Added alpha-tocopherol (Vitamin E) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 70.38"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TATOC","DR2TATOC","Vitamin E as alpha-tocopherol (mg)","Vitamin E as alpha-tocopherol (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 77.36"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TB12A","DR2TB12A","Added vitamin B12 (mcg)","Added vitamin B12 (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 51"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TBCAR","DR2TBCAR","Beta-carotene (mcg)","Beta-carotene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 201990"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TCAFF","DR2TCAFF","Caffeine (mg)","Caffeine (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5040"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TCALC","DR2TCALC","Calcium (mg)","Calcium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""9 to 11827"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TCARB","DR2TCARB","Carbohydrate (gm)","Carbohydrate (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1455.45"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TCHL","DR2TCHL","Total choline (mg)","Total choline (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1881.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TCHOL","DR2TCHOL","Cholesterol (mg)","Cholesterol (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2483"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TCOPP","DR2TCOPP","Copper (mg)","Copper (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.03 to 65.825"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TCRYP","DR2TCRYP","Beta-cryptoxanthin (mcg)","Beta-cryptoxanthin (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7814"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TFA","DR2TFA","Folic acid (mcg)","Folic acid (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2907"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TFDFE","DR2TFDFE","Folate DFE (mcg)","Folate as dietary folate equivalents (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5049"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TFF","DR2TFF","Food folate (mcg)","Food folate (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1829"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TFIBE","DR2TFIBE","Dietary fiber (gm)","Dietary fiber (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 104"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TFOLA","DR2TFOLA","Total folate (mcg)","Total folate (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3016"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TIRON","DR2TIRON","Iron (mg)","Iron (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 96.53"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TKCAL","DR2TKCAL","Energy (kcal)","Energy (kcal)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12326"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TLYCO","DR2TLYCO","Lycopene (mcg)","Lycopene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 147094"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TLZ","DR2TLZ","Lutein + zeaxanthin (mcg)","Lutein + zeaxanthin (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 80214"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TM161","DR2TM161","MFA 16:1 (Hexadecenoic) (gm)","MFA 16:1 (Hexadecenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 15.774"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TM181","DR2TM181","MFA 18:1 (Octadecenoic) (gm)","MFA 18:1 (Octadecenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 230.667"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TM201","DR2TM201","MFA 20:1 (Eicosenoic) (gm)","MFA 20:1 (Eicosenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4.629"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TM221","DR2TM221","MFA 22:1 (Docosenoic) (gm)","MFA 22:1 (Docosenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6.104"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TMAGN","DR2TMAGN","Magnesium (mg)","Magnesium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""3 to 1562"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TMFAT","DR2TMFAT","Total monounsaturated fatty acids (gm)","Total monounsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 247.042"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TMOIS","DR2TMOIS","Moisture (gm)","Moisture (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""67.59 to 13664.54"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TNIAC","DR2TNIAC","Niacin (mg)","Niacin (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 219.356"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TNUMF","DR2TNUMF","Number of foods/beverages reported","Total number of foods/beverages reported in the individual foods file","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 45"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10830"", ""3470""]; Cumulative=[""10830"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TP182","DR2TP182","PFA 18:2 (Octadecadienoic) (gm)","PFA 18:2 (Octadecadienoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 311.617"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TP183","DR2TP183","PFA 18:3 (Octadecatrienoic) (gm)","PFA 18:3 (Octadecatrienoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 44.599"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TP184","DR2TP184","PFA 18:4 (Octadecatetraenoic) (gm)","PFA 18:4 (Octadecatetraenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1.258"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TP204","DR2TP204","PFA 20:4 (Eicosatetraenoic) (gm)","PFA 20:4 (Eicosatetraenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1.388"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TP205","DR2TP205","PFA 20:5 (Eicosapentaenoic) (gm)","PFA 20:5 (Eicosapentaenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4.263"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TP225","DR2TP225","PFA 22:5 (Docosapentaenoic) (gm)","PFA 22:5 (Docosapentaenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1.38"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TP226","DR2TP226","PFA 22:6 (Docosahexaenoic) (gm)","PFA 22:6 (Docosahexaenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6.934"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TPFAT","DR2TPFAT","Total polyunsaturated fatty acids (gm)","Total polyunsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 358.034"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TPHOS","DR2TPHOS","Phosphorus (mg)","Phosphorus (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7723"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TPOTA","DR2TPOTA","Potassium (mg)","Potassium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12851"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TPROT","DR2TPROT","Protein (gm)","Protein (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 417.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TRET","DR2TRET","Retinol (mcg)","Retinol (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 34776"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TS040","DR2TS040","SFA 4:0 (Butanoic) (gm)","SFA 4:0 (Butanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 16.551"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TS060","DR2TS060","SFA 6:0 (Hexanoic) (gm)","SFA 6:0 (Hexanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4.154"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TS080","DR2TS080","SFA 8:0 (Octanoic) (gm)","SFA 8:0 (Octanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 14.244"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TS100","DR2TS100","SFA 10:0 (Decanoic) (gm)","SFA 10:0 (Decanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9.685"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TS120","DR2TS120","SFA 12:0 (Dodecanoic) (gm)","SFA 12:0 (Dodecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 36.075"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TS140","DR2TS140","SFA 14:0 (Tetradecanoic) (gm)","SFA 14:0 (Tetradecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 61.242"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TS160","DR2TS160","SFA 16:0 (Hexadecanoic) (gm)","SFA 16:0 (Hexadecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 138.351"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TS180","DR2TS180","SFA 18:0 (Octadecanoic) (gm)","SFA 18:0 (Octadecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 59.02"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
