"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DR1IFF_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DR1IFF_J","WTDRD1","WTDRD1","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1478.156428 to 691139.54688"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Day 1 dietary recall not done/incomplete"", ""Missing""]; Count=[""112683"", ""0"", ""0""]; Cumulative=[""112683"", ""112683"", ""112683""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR1IFF_J","DR1CCMTX","DR1CCMTX","Combination food type","Combination food type","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""90"", "".""]; Value.Description=[""Non-combination food"", ""Beverage w/ additions"", ""Cereal w/ additions"", ""Bread/baked products w/ additions"", ""Salad"", ""Sandwiches"", ""Soup"", ""Frozen meals"", ""Ice cream/frozen yogurt w/ additions"", ""Dried beans and vegetable w/ additions"", ""Fruit w/ additions"", ""Tortilla products"", ""Meat, poultry, fish"", ""Lunchables®"", ""Chips w/ additions"", ""Other mixtures"", ""Missing""]; Count=[""65894"", ""9623"", ""4127"", ""4538"", ""4626"", ""9511"", ""827"", ""35"", ""326"", ""3191"", ""672"", ""1909"", ""2781"", ""210"", ""510"", ""3903"", ""0""]; Cumulative=[""65894"", ""75517"", ""79644"", ""84182"", ""88808"", ""98319"", ""99146"", ""99181"", ""99507"", ""102698"", ""103370"", ""105279"", ""108060"", ""108270"", ""108780"", ""112683"", ""112683""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR1IFF_J","DR1_020","DR1_020","Time of eating occasion (HH:MM)","What time did you begin to eat/drink the meal/food?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 86340"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""112683"", ""0""]; Cumulative=[""112683"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1_030Z","DR1_030Z","Name of eating occasion","Name of eating occasion","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""91"", ""99"", "".""]; Value.Description=[""Breakfast"", ""Lunch"", ""Dinner"", ""Supper"", ""Brunch"", ""Snack"", ""Drink"", ""Infant feeding"", ""Extended consumption"", ""Desayano"", ""Almuerzo"", ""Comida"", ""Merienda"", ""Cena"", ""Entre comida"", ""Botana"", ""Bocadillo"", ""Tentempie"", ""Bebida"", ""Other"", ""Don't know"", ""Missing""]; Count=[""20319"", ""21949"", ""24065"", ""5286"", ""1277"", ""18608"", ""6642"", ""2784"", ""2439"", ""1987"", ""1534"", ""1484"", ""703"", ""1945"", ""385"", ""297"", ""415"", ""31"", ""531"", ""0"", ""2"", ""0""]; Cumulative=[""20319"", ""42268"", ""66333"", ""71619"", ""72896"", ""91504"", ""98146"", ""100930"", ""103369"", ""105356"", ""106890"", ""108374"", ""109077"", ""111022"", ""111407"", ""111704"", ""112119"", ""112150"", ""112681"", ""112681"", ""112683"", ""112683""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR1IFF_J","DR1FS","DR1FS","Source of food","Where did you get (this/most of the ingredients for this) {FOODNAME}?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""24"", ""25"", ""26"", ""27"", ""28"", ""91"", ""99"", "".""]; Value.Description=[""Store - grocery/supermarket"", ""Restaurant with waiter/waitress"", ""Restaurant fast food/pizza"", ""Bar/tavern/lounge"", ""Restaurant no additional information"", ""Cafeteria NOT in a K-12 school"", ""Cafeteria in a K-12 school"", ""Child/Adult care center"", ""Child/Adult home care"", ""Soup kitchen/shelter/food pantry"", ""Meals on Wheels"", ""Community food program - other"", ""Community program no additional information"", ""Vending machine"", ""Common coffee pot or snack tray"", ""From someone else/gift"", ""Mail order purchase"", ""Residential dining facility"", ""Grown or caught by you or someone you know"", ""Fish caught by you or someone you know"", ""Sport, recreation, or entertainment facility"", ""Street vendor, vending truck"", ""Fundraiser sales"", ""Store - convenience type"", ""Store - no additional info"", ""Other, specify"", ""Don't know"", ""Missing""]; Count=[""69415"", ""6895"", ""10644"", ""269"", ""29"", ""952"", ""1981"", ""449"", ""109"", ""147"", ""64"", ""227"", ""0"", ""260"", ""271"", ""6468"", ""516"", ""53"", ""604"", ""5"", ""415"", ""341"", ""63"", ""4230"", ""472"", ""0"", ""345"", ""7459""]; Cumulative=[""69415"", ""76310"", ""86954"", ""87223"", ""87252"", ""88204"", ""90185"", ""90634"", ""90743"", ""90890"", ""90954"", ""91181"", ""91181"", ""91441"", ""91712"", ""98180"", ""98696"", ""98749"", ""99353"", ""99358"", ""99773"", ""100114"", ""100177"", ""104407"", ""104879"", ""104879"", ""105224"", ""112683""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR1IFF_J","DR1_040Z","DR1_040Z","Did you eat this meal at home?","Did you eat this meal at home?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""78497"", ""33183"", ""0"", ""30"", ""973""]; Cumulative=[""78497"", ""111680"", ""111680"", ""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR1IFF_J","DR1IFDCD","DR1IFDCD","USDA food code","USDA food code","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""11000000 to 95342000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""112683"", ""0""]; Cumulative=[""112683"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IGRMS","DR1IGRMS","Grams","Gram weight of the food/individual component","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.04 to 15360"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IKCAL","DR1IKCAL","Energy (kcal)","Energy (kcal)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3523"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IPROT","DR1IPROT","Protein (gm)","Protein (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 216.14"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1ICARB","DR1ICARB","Carbohydrate (gm)","Carbohydrate (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 719.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1ISUGR","DR1ISUGR","Total sugars (gm)","Total sugars (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 690.23"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IFIBE","DR1IFIBE","Dietary fiber (gm)","Dietary fiber (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 88.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1ITFAT","DR1ITFAT","Total fat (gm)","Total fat (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 234.73"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1ISFAT","DR1ISFAT","Total saturated fatty acids (gm)","Total saturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 115.064"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IMFAT","DR1IMFAT","Total monounsaturated fatty acids (gm)","Total monounsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 100.26"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IPFAT","DR1IPFAT","Total polyunsaturated fatty acids (gm)","Total polyunsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 154.996"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1ICHOL","DR1ICHOL","Cholesterol (mg)","Cholesterol (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2319"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IATOC","DR1IATOC","Vitamin E as alpha-tocopherol (mg)","Vitamin E as alpha-tocopherol (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 123.02"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IATOA","DR1IATOA","Added alpha-tocopherol (Vitamin E) (mg)","Added alpha-tocopherol (Vitamin E) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 55.11"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IRET","DR1IRET","Retinol (mcg)","Retinol (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5993"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IVARA","DR1IVARA","Vitamin A RAE (mcg)","Vitamin A as retinol activity equivalents (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6324"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IACAR","DR1IACAR","Alpha-carotene (mcg)","Alpha-carotene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 19360"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IBCAR","DR1IBCAR","Beta-carotene (mcg)","Beta-carotene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 57944"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1ICRYP","DR1ICRYP","Beta-cryptoxanthin (mcg)","Beta-cryptoxanthin (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4920"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1ILYCO","DR1ILYCO","Lycopene (mcg)","Lycopene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 162485"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1ILZ","DR1ILZ","Lutein + zeaxanthin (mcg)","Lutein + zeaxanthin (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 53409"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IVB1","DR1IVB1","Thiamin (Vitamin B1) (mg)","Thiamin (Vitamin B1) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7.367"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IVB2","DR1IVB2","Riboflavin (Vitamin B2) (mg)","Riboflavin (Vitamin B2) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11.904"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1INIAC","DR1INIAC","Niacin (mg)","Niacin (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 182.325"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IVB6","DR1IVB6","Vitamin B6 (mg)","Vitamin B6 (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 40.205"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IFOLA","DR1IFOLA","Total folate (mcg)","Total folate (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2374"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IFA","DR1IFA","Folic acid (mcg)","Folic acid (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2339"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IFF","DR1IFF","Food folate (mcg)","Food folate (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1117"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IFDFE","DR1IFDFE","Folate DFE (mcg)","Folate as dietary folate equivalents (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4013"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1ICHL","DR1ICHL","Total choline (mg)","Total choline (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 988"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IVB12","DR1IVB12","Vitamin B12 (mcg)","Vitamin B12 (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 94.11"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IB12A","DR1IB12A","Added vitamin B12 (mcg)","Added vitamin B12 (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 49.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IVC","DR1IVC","Vitamin C (mg)","Vitamin C (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1333.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IVD","DR1IVD","Vitamin D (D2 + D3) (mcg)","Vitamin D (D2 + D3) (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 96.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IVK","DR1IVK","Vitamin K (mcg)","Vitamin K (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2236.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1ICALC","DR1ICALC","Calcium (mg)","Calcium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5555"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IPHOS","DR1IPHOS","Phosphorus (mg)","Phosphorus (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5444"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IMAGN","DR1IMAGN","Magnesium (mg)","Magnesium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 840"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IIRON","DR1IIRON","Iron (mg)","Iron (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 107.59"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IZINC","DR1IZINC","Zinc (mg)","Zinc (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 444.95"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1ICOPP","DR1ICOPP","Copper (mg)","Copper (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 32.357"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1ISODI","DR1ISODI","Sodium (mg)","Sodium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 13068"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IPOTA","DR1IPOTA","Potassium (mg)","Potassium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7063"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1ISELE","DR1ISELE","Selenium (mcg)","Selenium (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2549.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
