RXDDRGID,RXDDRUG,RXDINGFL,RXDDCI1A,RXDDCI1B,RXDDCI1C,RXDDCI2A,RXDDCI2B,RXDDCI2C,RXDDCI3A,RXDDCI3B,RXDDCI3C,RXDDCI4A,RXDDCI4B,RXDDCI4C,RXDICI1A,RXDICI1B,RXDICI1C,RXDICI2A,RXDICI2B,RXDICI2C,RXDICI3A,RXDICI3B,RXDICI3C,RXDICI4A,RXDICI4B,RXDICI4C,RXDICI5A,RXDICI5B,RXDICI5C,RXDICI6A,RXDICI6B,RXDICI6C,RXDDCN1A,RXDDCN1B,RXDDCN1C,RXDDCN2A,RXDDCN2B,RXDDCN2C,RXDDCN3A,RXDDCN3B,RXDDCN3C,RXDDCN4A,RXDDCN4B,RXDDCN4C,RXDICN1A,RXDICN1B,RXDICN1C,RXDICN2A,RXDICN2B,RXDICN2C,RXDICN3A,RXDICN3B,RXDICN3C,RXDICN4A,RXDICN4B,RXDICN4C,RXDICN5A,RXDICN5B,RXDICN5C,RXDICN6A,RXDICN6B,RXDICN6C
a11518,CONJUGATED ESTROGENS; PROGESTERONE,2,97,101,186,,,,,,,,,,97,101,183,97,101,185,,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,SEX HORMONE COMBINATIONS,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,HORMONES/HORMONE MODIFIERS,SEX HORMONES,PROGESTINS,,,,,,,,,,,,
a11692,AMYLASE; LIPASE; PROTEASE,2,87,91,,,,,,,,,,,87,91,,87,96,,,,,,,,,,,,,,GASTROINTESTINAL AGENTS,DIGESTIVE ENZYMES,,,,,,,,,,,GASTROINTESTINAL AGENTS,DIGESTIVE ENZYMES,,GASTROINTESTINAL AGENTS,MISCELLANEOUS GI AGENTS,,,,,,,,,,,,,
a51865,DIPHENIDOL,1,57,65,198,,,,,,,,,,57,65,198,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,MISCELLANEOUS ANTIEMETICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,MISCELLANEOUS ANTIEMETICS,,,,,,,,,,,,,,,
a52024,ENCAINIDE,1,40,46,,,,,,,,,,,40,46,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIARRHYTHMIC AGENTS,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIARRHYTHMIC AGENTS,,,,,,,,,,,,,,,,
a52060,ERYTHRITYL TETRANITRATE,1,40,53,,,,,,,,,,,40,53,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASODILATORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASODILATORS,,,,,,,,,,,,,,,,
a52445,GLUTETHIMIDE,1,57,67,70,,,,,,,,,,57,67,70,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS",,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS",,,,,,,,,,,,,,,
a53990,NYLIDRIN HYDROCHLORIDE,1,40,53,,,,,,,,,,,40,53,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASODILATORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASODILATORS,,,,,,,,,,,,,,,,
a54115,OXYGEN,1,105,110,,,,,,,,,,,105,110,,,,,,,,,,,,,,,,,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,,,,,,
a54760,PRAZEPAM,1,57,67,69,,,,,,,,,,57,67,69,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS",BENZODIAZEPINES,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS",BENZODIAZEPINES,,,,,,,,,,,,,,,
a55465,STANNOUS FLUORIDE,1,133,146,,,,,,,,,,,133,146,,,,,,,,,,,,,,,,,TOPICAL AGENTS,MOUTH AND THROAT PRODUCTS,,,,,,,,,,,TOPICAL AGENTS,MOUTH AND THROAT PRODUCTS,,,,,,,,,,,,,,,,
a55548,SULFAMETHAZINE,1,1,15,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,ANTI-INFECTIVES,SULFONAMIDES,,,,,,,,,,,ANTI-INFECTIVES,SULFONAMIDES,,,,,,,,,,,,,,,,
a55570,SULFAPYRIDINE,1,1,15,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,ANTI-INFECTIVES,SULFONAMIDES,,,,,,,,,,,ANTI-INFECTIVES,SULFONAMIDES,,,,,,,,,,,,,,,,
a55820,THYROGLOBULIN,1,97,103,,,,,,,,,,,97,103,,,,,,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,THYROID HORMONES,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,THYROID HORMONES,,,,,,,,,,,,,,,,
a56545,NITRAZEPAM,1,57,67,69,,,,,,,,,,57,67,69,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS",BENZODIAZEPINES,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS",BENZODIAZEPINES,,,,,,,,,,,,,,,
a57014,ERYTHROPOIETIN,1,28,36,,,,,,,,,,,28,36,,,,,,,,,,,,,,,,,BIOLOGICALS,ERYTHROPOIESIS-STIMULATING AGENTS,,,,,,,,,,,BIOLOGICALS,ERYTHROPOIESIS-STIMULATING AGENTS,,,,,,,,,,,,,,,,
a59812,DOMPERIDONE,1,57,65,198,,,,,,,,,,57,65,198,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,MISCELLANEOUS ANTIEMETICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,MISCELLANEOUS ANTIEMETICS,,,,,,,,,,,,,,,
a70010,SEROTONIN,1,242,249,209,,,,,,,,,,242,249,209,,,,,,,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TRICYCLIC ANTIDEPRESSANTS,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TRICYCLIC ANTIDEPRESSANTS,,,,,,,,,,,,,,,
a70248,ESTRIOL,1,97,101,183,,,,,,,,,,97,101,183,,,,,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,,,,,,,,,,,,,,,
a70444,CINNARIZINE,1,122,123,,,,,,,,,,,122,123,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
a70491,HYOSCYNAMINE SULFATE,1,87,355,89,,,,,,,,,,87,355,89,,,,,,,,,,,,,,,,GASTROINTESTINAL AGENTS,FUNCTIONAL BOWEL DISORDER AGENTS,ANTICHOLINERGICS/ANTISPASMODICS,,,,,,,,,,GASTROINTESTINAL AGENTS,FUNCTIONAL BOWEL DISORDER AGENTS,ANTICHOLINERGICS/ANTISPASMODICS,,,,,,,,,,,,,,,
a70573,PENTAERYTHRITOL TETRANITRATE,1,40,53,,,,,,,,,,,40,53,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASODILATORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASODILATORS,,,,,,,,,,,,,,,,
a70987,SQUARIC ACID,1,105,110,,,,,,,,,,,105,110,,,,,,,,,,,,,,,,,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,,,,,,
a71066,DEFLAZACORT,1,97,98,301,,,,,,,,,,97,98,301,,,,,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,ADRENAL CORTICAL STEROIDS,GLUCOCORTICOIDS,,,,,,,,,,HORMONES/HORMONE MODIFIERS,ADRENAL CORTICAL STEROIDS,GLUCOCORTICOIDS,,,,,,,,,,,,,,,
c00001,ANTI-INFECTIVES - UNSPECIFIED,0,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,ANTI-INFECTIVES,,,,,,,,,,,,ANTI-INFECTIVES,,,,,,,,,,,,,,,,,
c00004,ANTIFUNGALS - UNSPECIFIED,0,1,4,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,ANTI-INFECTIVES,ANTIFUNGALS,,,,,,,,,,,ANTI-INFECTIVES,ANTIFUNGALS,,,,,,,,,,,,,,,,
c00017,URINARY ANTI-INFECTIVES - UNSPECIFIED,0,1,17,,,,,,,,,,,1,17,,,,,,,,,,,,,,,,,ANTI-INFECTIVES,URINARY ANTI-INFECTIVES,,,,,,,,,,,ANTI-INFECTIVES,URINARY ANTI-INFECTIVES,,,,,,,,,,,,,,,,
c00019,ANTIHYPERLIPIDEMIC AGENTS - UNSPECIFIED,0,358,19,,,,,,,,,,,358,19,,,,,,,,,,,,,,,,,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,,,,,,,,,,,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,,,,,,,,,,,,,,,,
c00020,ANTINEOPLASTICS - UNSPECIFIED,0,20,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,ANTINEOPLASTICS,,,,,,,,,,,,ANTINEOPLASTICS,,,,,,,,,,,,,,,,,
c00039,MISCELLANEOUS BIOLOGICALS - UNSPECIFIED,0,254,39,,,,,,,,,,,254,39,,,,,,,,,,,,,,,,,IMMUNOLOGIC AGENTS,MISCELLANEOUS BIOLOGICALS,,,,,,,,,,,IMMUNOLOGIC AGENTS,MISCELLANEOUS BIOLOGICALS,,,,,,,,,,,,,,,,
c00040,CARDIOVASCULAR AGENTS - UNSPECIFIED,0,40,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,,,,,,,,,,,,CARDIOVASCULAR AGENTS,,,,,,,,,,,,,,,,,
c00047,BETA-ADRENERGIC BLOCKING AGENTS - UNSPECIFIED,0,40,47,,,,,,,,,,,40,47,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,,,,,,,,,,,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,,,,,,,,,,,,,,,,
c00049,DIURETICS - UNSPECIFIED,0,40,49,,,,,,,,,,,40,49,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,DIURETICS,,,,,,,,,,,CARDIOVASCULAR AGENTS,DIURETICS,,,,,,,,,,,,,,,,
c00055,ANTIHYPERTENSIVE COMBINATIONS - UNSPECIFIED,0,40,55,,,,,,,,,,,40,55,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIHYPERTENSIVE COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIHYPERTENSIVE COMBINATIONS,,,,,,,,,,,,,,,,
c00057,CENTRAL NERVOUS SYSTEM AGENTS - UNSPECIFIED,0,57,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,,,,,,,,,,,,,,,,,
c00058,ANALGESICS - UNSPECIFIED,0,57,58,,,,,,,,,,,57,58,,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,,,,,,,,,,,,,,,,
c00059,MISCELLANEOUS ANALGESICS - UNSPECIFIED,0,57,58,59,,,,,,,,,,57,58,59,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,MISCELLANEOUS ANALGESICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,MISCELLANEOUS ANALGESICS,,,,,,,,,,,,,,,
c00061,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS - UNSPECIFIED,0,57,58,61,,,,,,,,,,57,58,61,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,,,,,,
c00067,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS - UNSPECIFIED",0,57,67,,,,,,,,,,,57,67,,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS",,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS",,,,,,,,,,,,,,,,
c00071,CNS STIMULANTS - UNSPECIFIED,0,57,71,,,,,,,,,,,57,71,,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,,,,,,
c00073,MUSCLE RELAXANTS - UNSPECIFIED,0,57,73,,,,,,,,,,,57,73,,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,MUSCLE RELAXANTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,MUSCLE RELAXANTS,,,,,,,,,,,,,,,,
c00087,GASTROINTESTINAL AGENTS - UNSPECIFIED,0,87,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,GASTROINTESTINAL AGENTS,,,,,,,,,,,,GASTROINTESTINAL AGENTS,,,,,,,,,,,,,,,,,
c00088,ANTACIDS - UNSPECIFIED,0,87,88,,,,,,,,,,,87,88,,,,,,,,,,,,,,,,,GASTROINTESTINAL AGENTS,ANTACIDS,,,,,,,,,,,GASTROINTESTINAL AGENTS,ANTACIDS,,,,,,,,,,,,,,,,
c00090,ANTIDIARRHEALS - UNSPECIFIED,0,87,90,,,,,,,,,,,87,90,,,,,,,,,,,,,,,,,GASTROINTESTINAL AGENTS,ANTIDIARRHEALS,,,,,,,,,,,GASTROINTESTINAL AGENTS,ANTIDIARRHEALS,,,,,,,,,,,,,,,,
c00096,MISCELLANEOUS GI AGENTS - UNSPECIFIED,0,87,96,,,,,,,,,,,87,96,,,,,,,,,,,,,,,,,GASTROINTESTINAL AGENTS,MISCELLANEOUS GI AGENTS,,,,,,,,,,,GASTROINTESTINAL AGENTS,MISCELLANEOUS GI AGENTS,,,,,,,,,,,,,,,,
c00097,HORMONES/HORMONE MODIFIERS - UNSPECIFIED,0,97,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,,,,,,,,,,,,,,,,,
c00098,ADRENAL CORTICAL STEROIDS - UNSPECIFIED,0,97,98,,,,,,,,,,,97,98,,,,,,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,ADRENAL CORTICAL STEROIDS,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,ADRENAL CORTICAL STEROIDS,,,,,,,,,,,,,,,,
c00099,ANTIDIABETIC AGENTS - UNSPECIFIED,0,358,99,,,,,,,,,,,358,99,,,,,,,,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,,,,,,,,,,,,,,,,
c00101,SEX HORMONES - UNSPECIFIED,0,97,101,,,,,,,,,,,97,101,,,,,,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,,,,,,,,,,,,,,,,
c00102,CONTRACEPTIVES - UNSPECIFIED,0,97,101,102,,,,,,,,,,97,101,102,,,,,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,CONTRACEPTIVES,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,CONTRACEPTIVES,,,,,,,,,,,,,,,
c00103,THYROID HORMONES - UNSPECIFIED,0,97,103,,,,,,,,,,,97,103,,,,,,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,THYROID HORMONES,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,THYROID HORMONES,,,,,,,,,,,,,,,,
c00110,MISCELLANEOUS UNCATEGORIZED AGENTS - UNSPECIFIED,0,105,110,,,,,,,,,,,105,110,,,,,,,,,,,,,,,,,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,,,,,,
c00117,MINERALS AND ELECTROLYTES - UNSPECIFIED,0,115,117,,,,,,,,,,,115,117,,,,,,,,,,,,,,,,,NUTRITIONAL PRODUCTS,MINERALS AND ELECTROLYTES,,,,,,,,,,,NUTRITIONAL PRODUCTS,MINERALS AND ELECTROLYTES,,,,,,,,,,,,,,,,
c00122,RESPIRATORY AGENTS - UNSPECIFIED,0,122,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,,,,,,,,,,,,RESPIRATORY AGENTS,,,,,,,,,,,,,,,,,
c00123,ANTIHISTAMINES - UNSPECIFIED,0,122,123,,,,,,,,,,,122,123,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
c00130,RESPIRATORY INHALANT PRODUCTS - UNSPECIFIED,0,122,130,,,,,,,,,,,122,130,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,,,,,,,,,,,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,,,,,,,,,,,,,,,,
c00131,ANTIASTHMATIC COMBINATIONS - UNSPECIFIED,0,122,131,,,,,,,,,,,122,131,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTIASTHMATIC COMBINATIONS,,,,,,,,,,,RESPIRATORY AGENTS,ANTIASTHMATIC COMBINATIONS,,,,,,,,,,,,,,,,
c00133,TOPICAL AGENTS - UNSPECIFIED,0,133,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,TOPICAL AGENTS,,,,,,,,,,,,TOPICAL AGENTS,,,,,,,,,,,,,,,,,
c00136,DERMATOLOGICAL AGENTS - UNSPECIFIED,0,133,136,,,,,,,,,,,133,136,,,,,,,,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,,,,,,,,,,,,,,,,
c00138,TOPICAL STEROIDS - UNSPECIFIED,0,133,136,138,,,,,,,,,,133,136,138,,,,,,,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL STEROIDS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL STEROIDS,,,,,,,,,,,,,,,
c00146,MOUTH AND THROAT PRODUCTS - UNSPECIFIED,0,133,146,,,,,,,,,,,133,146,,,,,,,,,,,,,,,,,TOPICAL AGENTS,MOUTH AND THROAT PRODUCTS,,,,,,,,,,,TOPICAL AGENTS,MOUTH AND THROAT PRODUCTS,,,,,,,,,,,,,,,,
c00147,OPHTHALMIC PREPARATIONS - UNSPECIFIED,0,133,147,,,,,,,,,,,133,147,,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,,,,,,,,,,,,,,,,
c00148,OTIC PREPARATIONS - UNSPECIFIED,0,133,148,,,,,,,,,,,133,148,,,,,,,,,,,,,,,,,TOPICAL AGENTS,OTIC PREPARATIONS,,,,,,,,,,,TOPICAL AGENTS,OTIC PREPARATIONS,,,,,,,,,,,,,,,,
c00156,THIAZIDE AND THIAZIDE-LIKE DIURETICS - UNSPECIFIED,0,40,49,156,,,,,,,,,,40,49,156,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,DIURETICS,THIAZIDE AND THIAZIDE-LIKE DIURETICS,,,,,,,,,,CARDIOVASCULAR AGENTS,DIURETICS,THIAZIDE AND THIAZIDE-LIKE DIURETICS,,,,,,,,,,,,,,,
c00163,OPHTHALMIC ANTI-INFECTIVES - UNSPECIFIED,0,133,147,163,,,,,,,,,,133,147,163,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,,,,,,
c00164,OPHTHALMIC GLAUCOMA AGENTS - UNSPECIFIED,0,133,147,164,,,,,,,,,,133,147,164,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,,,,,,
c00167,OPHTHALMIC ANTI-INFLAMMATORY AGENTS - UNSPECIFIED,0,133,147,167,,,,,,,,,,133,147,167,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFLAMMATORY AGENTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFLAMMATORY AGENTS,,,,,,,,,,,,,,,
