"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"MGX_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"MGX_G","MGDEXSTS","MGDEXSTS","Grip test status","Grip test status","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Completed test on both hands"", ""Completed test on only one hand"", ""Did not perform test"", ""Missing""]; Count=[""7064"", ""113"", ""644"", ""0""]; Cumulative=[""7064"", ""7177"", ""7821"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_G","MGXH1T1E","MGXH1T1E","Grip strength hand 1 test 1 effort","Whether the participant exerted a maximal or questionable effort during the test 1 on hand 1 as assessed by the technician.","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Maximal"", ""Questionable"", ""Missing""]; Count=[""6911"", ""259"", ""651""]; Cumulative=[""6911"", ""7170"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"MGX_G","MGXH2T1","MGXH2T1","Grip strength (kg) hand 2 test 1","Grip strength (kg) hand 2 test 1","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 77.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7071"", ""750""]; Cumulative=[""7071"", ""7821""]; Skip.to.Item=[""NA"", ""NA""]"
"MGX_G","MGXH2T1E","MGXH2T1E","Grip strength hand 2 test 1 effort","Whether the participant exerted a maximal or questionable effort during the test 1 on hand 2 as assessed by the technician.","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Maximal"", ""Questionable"", ""Missing""]; Count=[""6892"", ""179"", ""750""]; Cumulative=[""6892"", ""7071"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"MGX_G","MGXH1T2","MGXH1T2","Grip strength (kg) hand 1 test 2","Grip strength (kg) hand 1 test 2","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.2 to 83.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7161"", ""660""]; Cumulative=[""7161"", ""7821""]; Skip.to.Item=[""NA"", ""NA""]"
"MGX_G","MGXH1T2E","MGXH1T2E","Grip strength hand 1 test 2 effort","Whether the participant exerted a maximal or questionable effort during the test 2 on hand 1 as assessed by the technician.","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Maximal"", ""Questionable"", ""Missing""]; Count=[""7050"", ""111"", ""660""]; Cumulative=[""7050"", ""7161"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"MGX_G","MGXH2T2","MGXH2T2","Grip strength (kg) hand 2 test 2","Grip strength (kg) hand 2 test 2","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""5 to 83.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7066"", ""755""]; Cumulative=[""7066"", ""7821""]; Skip.to.Item=[""NA"", ""NA""]"
"MGX_G","MGXH2T2E","MGXH2T2E","Grip strength hand 2 test 2 effort","Whether the participant exerted a maximal or questionable effort during the test 2 on hand 2 as assessed by the technician.","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Maximal"", ""Questionable"", ""Missing""]; Count=[""6955"", ""111"", ""755""]; Cumulative=[""6955"", ""7066"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"MGX_G","MGXH1T3","MGXH1T3","Grip strength (kg) hand 1 test 3","Grip strength (kg) hand 1 test 3","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""5 to 85.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7159"", ""662""]; Cumulative=[""7159"", ""7821""]; Skip.to.Item=[""NA"", ""NA""]"
"MGX_G","MGXH1T3E","MGXH1T3E","Grip strength hand 1 test 3 effort","Whether the participant exerted a maximal or questionable effort during the test 3 on hand 1 as assessed by the technician.","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Maximal"", ""Questionable"", ""Missing""]; Count=[""7055"", ""104"", ""662""]; Cumulative=[""7055"", ""7159"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"MGX_G","MGXH2T3","MGXH2T3","Grip strength (kg) hand 2 test 3","Grip strength (kg) hand 2 test 3","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.1 to 82.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7059"", ""762""]; Cumulative=[""7059"", ""7821""]; Skip.to.Item=[""NA"", ""NA""]"
"MGX_G","MGXH2T3E","MGXH2T3E","Grip strength hand 2 test 3 effort","Whether the participant exerted a maximal or questionable effort during the test 3 on hand 2 as assessed by the technician.","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Maximal"", ""Questionable"", ""Missing""]; Count=[""6943"", ""116"", ""762""]; Cumulative=[""6943"", ""7059"", ""7821""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"MGX_G","MGDCGSZ","MGDCGSZ","Combined grip strength (kg)","Combined grip strength (kg): the sum of the largest reading from each hand.","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""11.4 to 169.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7064"", ""757""]; Cumulative=[""7064"", ""7821""]; Skip.to.Item=[""NA"", ""NA""]"
