"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"CAFE_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"CAFE_H","WTSC2YR","WTSC2YR","Two-year C subsample weights","Two-year C subsample weights","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""14405.432403 to 541782.13734"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No Lab Result"", ""Missing""]; Count=[""2713"", ""46"", ""0""]; Cumulative=[""2713"", ""2759"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_H","URXMU6","URXMU6","37-dimethyluric acid (umol/L)","37-dimethyluric acid (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.021 to 48.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2621"", ""138""]; Cumulative=[""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_H","URDMU6LC","URDMU6LC","37-dimethyluric acid comment code","37-dimethyluric acid comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2502"", ""119"", ""138""]; Cumulative=[""2502"", ""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_H","URXMU7","URXMU7","137-trimethyluric acid (umol/L)","137-trimethyluric acid (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.004 to 80.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2621"", ""138""]; Cumulative=[""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_H","URDMU7LC","URDMU7LC","137-trimethyluric acid comment code","137-trimethyluric acid comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2513"", ""108"", ""138""]; Cumulative=[""2513"", ""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_H","URXMX1","URXMX1","1-methylxanthine (umol/L)","1-methylxanthine (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.021 to 884"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2621"", ""138""]; Cumulative=[""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_H","URDMX1LC","URDMX1LC","1-methylxanthine comment code","1-methylxanthine comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2620"", ""1"", ""138""]; Cumulative=[""2620"", ""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_H","URXMX2","URXMX2","3-methylxanthine (umol/L)","3-methylxanthine (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.028 to 1240"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2621"", ""138""]; Cumulative=[""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_H","URDMX2LC","URDMX2LC","3-methylxanthine comment code","3-methylxanthine comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2609"", ""12"", ""138""]; Cumulative=[""2609"", ""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_H","URXMX3","URXMX3","7-methylxanthine (umol/L)","7-methylxanthine (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.014 to 2100"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2621"", ""138""]; Cumulative=[""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_H","URDMX3LC","URDMX3LC","7-methylxanthine comment code","7-methylxanthine comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2620"", ""1"", ""138""]; Cumulative=[""2620"", ""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_H","URXMX4","URXMX4","13-dimethylxanthine(theophylline)umol/L","13-dimethylxanthine(theophylline)umol/L","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.007 to 84.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2621"", ""138""]; Cumulative=[""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_H","URDMX4LC","URDMX4LC","13-dimethylxanthine comment code","13-dimethylxanthine comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2548"", ""73"", ""138""]; Cumulative=[""2548"", ""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_H","URXMX5","URXMX5","17-dimethylxanthine(paraxanthine)umol/L","17-dimethylxanthine(paraxanthine)umol/L","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.004 to 280"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2621"", ""138""]; Cumulative=[""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_H","URDMX5LC","URDMX5LC","17-dimethylxanthine comment code","17-dimethylxanthine comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2607"", ""14"", ""138""]; Cumulative=[""2607"", ""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_H","URXMX6","URXMX6","37-dimethylxanthine(theobromine)umol/L","37-dimethylxanthine(theobromine)umol/L","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.003 to 474"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2621"", ""138""]; Cumulative=[""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_H","URDMX6LC","URDMX6LC","37-dimethylxanthine comment code","37-dimethylxanthine comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2614"", ""7"", ""138""]; Cumulative=[""2614"", ""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_H","URXMX7","URXMX7","137-trimethylxanthine(caffeine)umol/L","137-trimethylxanthine(caffeine)umol/L","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.002 to 163"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2621"", ""138""]; Cumulative=[""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_H","URDMX7LC","URDMX7LC","137-trimethylxanthine comment code","137-trimethylxanthine comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2540"", ""81"", ""138""]; Cumulative=[""2540"", ""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_H","URXAMU","URXAMU","5-actylamino-6-amno-3-methyluracil(uM/L)","5-acetylamino-6-amino-3-methyluracil (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 1220"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2621"", ""138""]; Cumulative=[""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_H","URDAMULC","URDAMULC","5-actylamno-6-amno-3-methylucl cmnt code","5-acetylamino-6-amino-3-methyluracil comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2620"", ""1"", ""138""]; Cumulative=[""2620"", ""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
