"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"BFRPOL_E","SAMPLEID","SAMPLEID","Pool identification number","Pool identification number","Both males and females 12 YEARS - 150 YEARS",NA,NA
"BFRPOL_E","RIAGENDR","RIAGENDR","Gender","Gender","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Male"", ""Female"", ""Missing""]; Count=[""132"", ""132"", ""0""]; Cumulative=[""132"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_E","LBDBR66C","LBDBR66C","2344-tetrabromodiphenyl ether comt","2344-tetrabromodiphenyl ether comt","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""6"", ""258"", ""0""]; Cumulative=[""6"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_E","LBCBR7","LBCBR7","224455-hxbromodiphnyl ethr(pg/g)","224455-hxbromodiphnyl ether(pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""16.1 to 448"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBCBR7LA","LBCBR7LA","224455-hxbrompheyl lpd adj(ng/g)","224455-hxbromphenyl lipid adj(ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.4 to 71.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBDBR7LC","LBDBR7LC","224455-hexabromphenyl ether comt","224455-hexabromphenyl ether comt","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""264"", ""0"", ""0""]; Cumulative=[""264"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_E","LBCBR8","LBCBR8","224456hexabromodiphyl ethr(pg/g)","224456-hexabromodiphyl ether(pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.8 to 29.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBCBR8LA","LBCBR8LA","224456-hxabromphyl lpd adj(ng/g)","224456-hxabromphenyl lpd adj(ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 4.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBDBR8LC","LBDBR8LC","224456-hexabromphenyl ether comt","224456-hexabromphenyl ether comt","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""192"", ""72"", ""0""]; Cumulative=[""192"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_E","LBCBR9","LBCBR9","2234456heptbromdiphyl ethr(pg/g)","2234456-heptabromodiphyl ethr(pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""."", ""1.8 to 23.1""]; Value.Description=[""Missing"", ""Range of Values""]; Count=[""0"", ""264""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBCBR9LA","LBCBR9LA","2234456-heptbrphl lpd adj(ng/g)","2234456-heptabrophenl lipid adj(ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 3.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBDBR9LC","LBDBR9LC","2234456-heptabrophenl ether cmt","2234456-heptabrophenl ether cmt","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""87"", ""177"", ""0""]; Cumulative=[""87"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
