"","Gender","Age_Group","Race_or_Ethnicity","Education","SBP","BMI","Smoker","background_n"
"94","Female","40-59","NH White",">=College grad","SBP<120","Underweight","Smoke",0
"95","Male","59+","NH White",">=College grad","SBP<120","Underweight","Smoke",0
"96","Female","59+","NH White",">=College grad","SBP<120","Underweight","Smoke",0
"97","Male","18-39","NH Black",">=College grad","SBP<120","Underweight","Smoke",0
"98","Female","18-39","NH Black",">=College grad","SBP<120","Underweight","Smoke",0
"99","Male","40-59","NH Black",">=College grad","SBP<120","Underweight","Smoke",0
"100","Female","40-59","NH Black",">=College grad","SBP<120","Underweight","Smoke",0
"101","Male","59+","NH Black",">=College grad","SBP<120","Underweight","Smoke",0
"102","Female","59+","NH Black",">=College grad","SBP<120","Underweight","Smoke",0
"103","Male","18-39","NH Asian",">=College grad","SBP<120","Underweight","Smoke",0
"104","Female","18-39","NH Asian",">=College grad","SBP<120","Underweight","Smoke",0
"105","Male","40-59","NH Asian",">=College grad","SBP<120","Underweight","Smoke",0
"106","Female","40-59","NH Asian",">=College grad","SBP<120","Underweight","Smoke",0
"107","Male","59+","NH Asian",">=College grad","SBP<120","Underweight","Smoke",0
"108","Female","59+","NH Asian",">=College grad","SBP<120","Underweight","Smoke",0
"109","Male","18-39","Hispanic",">=College grad","SBP<120","Underweight","Smoke",0
"110","Female","18-39","Hispanic",">=College grad","SBP<120","Underweight","Smoke",0
"111","Male","40-59","Hispanic",">=College grad","SBP<120","Underweight","Smoke",0
"112","Female","40-59","Hispanic",">=College grad","SBP<120","Underweight","Smoke",0
"113","Male","59+","Hispanic",">=College grad","SBP<120","Underweight","Smoke",0
"114","Female","59+","Hispanic",">=College grad","SBP<120","Underweight","Smoke",0
"115","Male","18-39","Other",">=College grad","SBP<120","Underweight","Smoke",0
"116","Female","18-39","Other",">=College grad","SBP<120","Underweight","Smoke",0
"117","Male","40-59","Other",">=College grad","SBP<120","Underweight","Smoke",0
"118","Female","40-59","Other",">=College grad","SBP<120","Underweight","Smoke",0
"119","Male","59+","Other",">=College grad","SBP<120","Underweight","Smoke",0
"120","Female","59+","Other",">=College grad","SBP<120","Underweight","Smoke",0
"121","Male","18-39","NH White",NA,"SBP<120","Underweight","Smoke",0
"122","Female","18-39","NH White",NA,"SBP<120","Underweight","Smoke",0
"123","Male","40-59","NH White",NA,"SBP<120","Underweight","Smoke",0
"124","Female","40-59","NH White",NA,"SBP<120","Underweight","Smoke",0
"125","Male","59+","NH White",NA,"SBP<120","Underweight","Smoke",0
"126","Female","59+","NH White",NA,"SBP<120","Underweight","Smoke",0
"127","Male","18-39","NH Black",NA,"SBP<120","Underweight","Smoke",0
"128","Female","18-39","NH Black",NA,"SBP<120","Underweight","Smoke",0
"129","Male","40-59","NH Black",NA,"SBP<120","Underweight","Smoke",0
"130","Female","40-59","NH Black",NA,"SBP<120","Underweight","Smoke",0
"131","Male","59+","NH Black",NA,"SBP<120","Underweight","Smoke",0
"132","Female","59+","NH Black",NA,"SBP<120","Underweight","Smoke",0
"133","Male","18-39","NH Asian",NA,"SBP<120","Underweight","Smoke",0
"134","Female","18-39","NH Asian",NA,"SBP<120","Underweight","Smoke",0
"135","Male","40-59","NH Asian",NA,"SBP<120","Underweight","Smoke",0
"136","Female","40-59","NH Asian",NA,"SBP<120","Underweight","Smoke",0
"137","Male","59+","NH Asian",NA,"SBP<120","Underweight","Smoke",0
"138","Female","59+","NH Asian",NA,"SBP<120","Underweight","Smoke",0
"139","Male","18-39","Hispanic",NA,"SBP<120","Underweight","Smoke",0
"140","Female","18-39","Hispanic",NA,"SBP<120","Underweight","Smoke",0
"141","Male","40-59","Hispanic",NA,"SBP<120","Underweight","Smoke",0
"142","Female","40-59","Hispanic",NA,"SBP<120","Underweight","Smoke",0
"143","Male","59+","Hispanic",NA,"SBP<120","Underweight","Smoke",0
"144","Female","59+","Hispanic",NA,"SBP<120","Underweight","Smoke",0
"145","Male","18-39","Other",NA,"SBP<120","Underweight","Smoke",0
"146","Female","18-39","Other",NA,"SBP<120","Underweight","Smoke",0
"147","Male","40-59","Other",NA,"SBP<120","Underweight","Smoke",0
"148","Female","40-59","Other",NA,"SBP<120","Underweight","Smoke",0
"149","Male","59+","Other",NA,"SBP<120","Underweight","Smoke",0
"150","Female","59+","Other",NA,"SBP<120","Underweight","Smoke",0
"151","Male","18-39","NH White","<HSG","SBP 120-129","Underweight","Smoke",0
"152","Female","18-39","NH White","<HSG","SBP 120-129","Underweight","Smoke",0
"153","Male","40-59","NH White","<HSG","SBP 120-129","Underweight","Smoke",0
"154","Female","40-59","NH White","<HSG","SBP 120-129","Underweight","Smoke",0
"155","Male","59+","NH White","<HSG","SBP 120-129","Underweight","Smoke",0
"156","Female","59+","NH White","<HSG","SBP 120-129","Underweight","Smoke",0
"157","Male","18-39","NH Black","<HSG","SBP 120-129","Underweight","Smoke",0
"158","Female","18-39","NH Black","<HSG","SBP 120-129","Underweight","Smoke",0
"159","Male","40-59","NH Black","<HSG","SBP 120-129","Underweight","Smoke",0
"160","Female","40-59","NH Black","<HSG","SBP 120-129","Underweight","Smoke",0
"161","Male","59+","NH Black","<HSG","SBP 120-129","Underweight","Smoke",0
"162","Female","59+","NH Black","<HSG","SBP 120-129","Underweight","Smoke",0
"163","Male","18-39","NH Asian","<HSG","SBP 120-129","Underweight","Smoke",0
"164","Female","18-39","NH Asian","<HSG","SBP 120-129","Underweight","Smoke",0
"165","Male","40-59","NH Asian","<HSG","SBP 120-129","Underweight","Smoke",0
"166","Female","40-59","NH Asian","<HSG","SBP 120-129","Underweight","Smoke",0
"167","Male","59+","NH Asian","<HSG","SBP 120-129","Underweight","Smoke",0
"168","Female","59+","NH Asian","<HSG","SBP 120-129","Underweight","Smoke",0
"169","Male","18-39","Hispanic","<HSG","SBP 120-129","Underweight","Smoke",0
"170","Female","18-39","Hispanic","<HSG","SBP 120-129","Underweight","Smoke",0
"171","Male","40-59","Hispanic","<HSG","SBP 120-129","Underweight","Smoke",0
"172","Female","40-59","Hispanic","<HSG","SBP 120-129","Underweight","Smoke",0
"173","Male","59+","Hispanic","<HSG","SBP 120-129","Underweight","Smoke",0
"174","Female","59+","Hispanic","<HSG","SBP 120-129","Underweight","Smoke",0
"175","Male","18-39","Other","<HSG","SBP 120-129","Underweight","Smoke",0
"176","Female","18-39","Other","<HSG","SBP 120-129","Underweight","Smoke",0
"177","Male","40-59","Other","<HSG","SBP 120-129","Underweight","Smoke",0
"178","Female","40-59","Other","<HSG","SBP 120-129","Underweight","Smoke",0
"179","Male","59+","Other","<HSG","SBP 120-129","Underweight","Smoke",0
"180","Female","59+","Other","<HSG","SBP 120-129","Underweight","Smoke",0
"181","Male","18-39","NH White","HSG/GED","SBP 120-129","Underweight","Smoke",0
"182","Female","18-39","NH White","HSG/GED","SBP 120-129","Underweight","Smoke",0
"183","Male","40-59","NH White","HSG/GED","SBP 120-129","Underweight","Smoke",0
"184","Female","40-59","NH White","HSG/GED","SBP 120-129","Underweight","Smoke",0
"185","Male","59+","NH White","HSG/GED","SBP 120-129","Underweight","Smoke",0
"186","Female","59+","NH White","HSG/GED","SBP 120-129","Underweight","Smoke",0
"187","Male","18-39","NH Black","HSG/GED","SBP 120-129","Underweight","Smoke",0
"188","Female","18-39","NH Black","HSG/GED","SBP 120-129","Underweight","Smoke",0
"189","Male","40-59","NH Black","HSG/GED","SBP 120-129","Underweight","Smoke",0
"190","Female","40-59","NH Black","HSG/GED","SBP 120-129","Underweight","Smoke",0
"191","Male","59+","NH Black","HSG/GED","SBP 120-129","Underweight","Smoke",0
"192","Female","59+","NH Black","HSG/GED","SBP 120-129","Underweight","Smoke",0
"193","Male","18-39","NH Asian","HSG/GED","SBP 120-129","Underweight","Smoke",0
"194","Female","18-39","NH Asian","HSG/GED","SBP 120-129","Underweight","Smoke",0
"195","Male","40-59","NH Asian","HSG/GED","SBP 120-129","Underweight","Smoke",0
"196","Female","40-59","NH Asian","HSG/GED","SBP 120-129","Underweight","Smoke",0
"197","Male","59+","NH Asian","HSG/GED","SBP 120-129","Underweight","Smoke",0
"198","Female","59+","NH Asian","HSG/GED","SBP 120-129","Underweight","Smoke",0
"199","Male","18-39","Hispanic","HSG/GED","SBP 120-129","Underweight","Smoke",0
"200","Female","18-39","Hispanic","HSG/GED","SBP 120-129","Underweight","Smoke",0
"201","Male","40-59","Hispanic","HSG/GED","SBP 120-129","Underweight","Smoke",0
"202","Female","40-59","Hispanic","HSG/GED","SBP 120-129","Underweight","Smoke",0
"203","Male","59+","Hispanic","HSG/GED","SBP 120-129","Underweight","Smoke",0
"204","Female","59+","Hispanic","HSG/GED","SBP 120-129","Underweight","Smoke",0
"205","Male","18-39","Other","HSG/GED","SBP 120-129","Underweight","Smoke",0
"206","Female","18-39","Other","HSG/GED","SBP 120-129","Underweight","Smoke",0
"207","Male","40-59","Other","HSG/GED","SBP 120-129","Underweight","Smoke",0
"208","Female","40-59","Other","HSG/GED","SBP 120-129","Underweight","Smoke",0
"209","Male","59+","Other","HSG/GED","SBP 120-129","Underweight","Smoke",0
"210","Female","59+","Other","HSG/GED","SBP 120-129","Underweight","Smoke",0
"211","Male","18-39","NH White","Some college/TS","SBP 120-129","Underweight","Smoke",0
"212","Female","18-39","NH White","Some college/TS","SBP 120-129","Underweight","Smoke",0
"213","Male","40-59","NH White","Some college/TS","SBP 120-129","Underweight","Smoke",0
"214","Female","40-59","NH White","Some college/TS","SBP 120-129","Underweight","Smoke",0
"215","Male","59+","NH White","Some college/TS","SBP 120-129","Underweight","Smoke",0
"216","Female","59+","NH White","Some college/TS","SBP 120-129","Underweight","Smoke",0
"217","Male","18-39","NH Black","Some college/TS","SBP 120-129","Underweight","Smoke",0
"218","Female","18-39","NH Black","Some college/TS","SBP 120-129","Underweight","Smoke",0
"219","Male","40-59","NH Black","Some college/TS","SBP 120-129","Underweight","Smoke",0
"220","Female","40-59","NH Black","Some college/TS","SBP 120-129","Underweight","Smoke",0
"221","Male","59+","NH Black","Some college/TS","SBP 120-129","Underweight","Smoke",0
"222","Female","59+","NH Black","Some college/TS","SBP 120-129","Underweight","Smoke",0
"223","Male","18-39","NH Asian","Some college/TS","SBP 120-129","Underweight","Smoke",0
"224","Female","18-39","NH Asian","Some college/TS","SBP 120-129","Underweight","Smoke",0
"225","Male","40-59","NH Asian","Some college/TS","SBP 120-129","Underweight","Smoke",0
"226","Female","40-59","NH Asian","Some college/TS","SBP 120-129","Underweight","Smoke",0
"227","Male","59+","NH Asian","Some college/TS","SBP 120-129","Underweight","Smoke",0
"228","Female","59+","NH Asian","Some college/TS","SBP 120-129","Underweight","Smoke",0
"229","Male","18-39","Hispanic","Some college/TS","SBP 120-129","Underweight","Smoke",0
"230","Female","18-39","Hispanic","Some college/TS","SBP 120-129","Underweight","Smoke",0
"231","Male","40-59","Hispanic","Some college/TS","SBP 120-129","Underweight","Smoke",0
"232","Female","40-59","Hispanic","Some college/TS","SBP 120-129","Underweight","Smoke",0
"233","Male","59+","Hispanic","Some college/TS","SBP 120-129","Underweight","Smoke",0
"234","Female","59+","Hispanic","Some college/TS","SBP 120-129","Underweight","Smoke",0
"235","Male","18-39","Other","Some college/TS","SBP 120-129","Underweight","Smoke",0
"236","Female","18-39","Other","Some college/TS","SBP 120-129","Underweight","Smoke",0
"237","Male","40-59","Other","Some college/TS","SBP 120-129","Underweight","Smoke",0
"238","Female","40-59","Other","Some college/TS","SBP 120-129","Underweight","Smoke",0
"239","Male","59+","Other","Some college/TS","SBP 120-129","Underweight","Smoke",0
"240","Female","59+","Other","Some college/TS","SBP 120-129","Underweight","Smoke",0
"241","Male","18-39","NH White",">=College grad","SBP 120-129","Underweight","Smoke",0
"242","Female","18-39","NH White",">=College grad","SBP 120-129","Underweight","Smoke",0
"243","Male","40-59","NH White",">=College grad","SBP 120-129","Underweight","Smoke",0
"244","Female","40-59","NH White",">=College grad","SBP 120-129","Underweight","Smoke",0
"245","Male","59+","NH White",">=College grad","SBP 120-129","Underweight","Smoke",0
"246","Female","59+","NH White",">=College grad","SBP 120-129","Underweight","Smoke",0
"247","Male","18-39","NH Black",">=College grad","SBP 120-129","Underweight","Smoke",0
"248","Female","18-39","NH Black",">=College grad","SBP 120-129","Underweight","Smoke",0
"249","Male","40-59","NH Black",">=College grad","SBP 120-129","Underweight","Smoke",0
"250","Female","40-59","NH Black",">=College grad","SBP 120-129","Underweight","Smoke",0
"251","Male","59+","NH Black",">=College grad","SBP 120-129","Underweight","Smoke",0
"252","Female","59+","NH Black",">=College grad","SBP 120-129","Underweight","Smoke",0
"253","Male","18-39","NH Asian",">=College grad","SBP 120-129","Underweight","Smoke",0
"254","Female","18-39","NH Asian",">=College grad","SBP 120-129","Underweight","Smoke",0
"255","Male","40-59","NH Asian",">=College grad","SBP 120-129","Underweight","Smoke",0
"256","Female","40-59","NH Asian",">=College grad","SBP 120-129","Underweight","Smoke",0
"257","Male","59+","NH Asian",">=College grad","SBP 120-129","Underweight","Smoke",0
"258","Female","59+","NH Asian",">=College grad","SBP 120-129","Underweight","Smoke",0
"259","Male","18-39","Hispanic",">=College grad","SBP 120-129","Underweight","Smoke",0
"260","Female","18-39","Hispanic",">=College grad","SBP 120-129","Underweight","Smoke",0
"261","Male","40-59","Hispanic",">=College grad","SBP 120-129","Underweight","Smoke",0
"262","Female","40-59","Hispanic",">=College grad","SBP 120-129","Underweight","Smoke",0
"263","Male","59+","Hispanic",">=College grad","SBP 120-129","Underweight","Smoke",0
"264","Female","59+","Hispanic",">=College grad","SBP 120-129","Underweight","Smoke",0
"265","Male","18-39","Other",">=College grad","SBP 120-129","Underweight","Smoke",0
"266","Female","18-39","Other",">=College grad","SBP 120-129","Underweight","Smoke",0
"267","Male","40-59","Other",">=College grad","SBP 120-129","Underweight","Smoke",0
"268","Female","40-59","Other",">=College grad","SBP 120-129","Underweight","Smoke",0
"269","Male","59+","Other",">=College grad","SBP 120-129","Underweight","Smoke",0
"270","Female","59+","Other",">=College grad","SBP 120-129","Underweight","Smoke",0
"271","Male","18-39","NH White",NA,"SBP 120-129","Underweight","Smoke",0
"272","Female","18-39","NH White",NA,"SBP 120-129","Underweight","Smoke",0
"273","Male","40-59","NH White",NA,"SBP 120-129","Underweight","Smoke",0
"274","Female","40-59","NH White",NA,"SBP 120-129","Underweight","Smoke",0
"275","Male","59+","NH White",NA,"SBP 120-129","Underweight","Smoke",0
"276","Female","59+","NH White",NA,"SBP 120-129","Underweight","Smoke",0
"277","Male","18-39","NH Black",NA,"SBP 120-129","Underweight","Smoke",0
"278","Female","18-39","NH Black",NA,"SBP 120-129","Underweight","Smoke",0
"279","Male","40-59","NH Black",NA,"SBP 120-129","Underweight","Smoke",0
"280","Female","40-59","NH Black",NA,"SBP 120-129","Underweight","Smoke",0
"281","Male","59+","NH Black",NA,"SBP 120-129","Underweight","Smoke",0
"282","Female","59+","NH Black",NA,"SBP 120-129","Underweight","Smoke",0
"283","Male","18-39","NH Asian",NA,"SBP 120-129","Underweight","Smoke",0
"284","Female","18-39","NH Asian",NA,"SBP 120-129","Underweight","Smoke",0
"285","Male","40-59","NH Asian",NA,"SBP 120-129","Underweight","Smoke",0
"286","Female","40-59","NH Asian",NA,"SBP 120-129","Underweight","Smoke",0
"287","Male","59+","NH Asian",NA,"SBP 120-129","Underweight","Smoke",0
"288","Female","59+","NH Asian",NA,"SBP 120-129","Underweight","Smoke",0
"289","Male","18-39","Hispanic",NA,"SBP 120-129","Underweight","Smoke",0
"290","Female","18-39","Hispanic",NA,"SBP 120-129","Underweight","Smoke",0
"291","Male","40-59","Hispanic",NA,"SBP 120-129","Underweight","Smoke",0
"292","Female","40-59","Hispanic",NA,"SBP 120-129","Underweight","Smoke",0
"293","Male","59+","Hispanic",NA,"SBP 120-129","Underweight","Smoke",0
"294","Female","59+","Hispanic",NA,"SBP 120-129","Underweight","Smoke",0
"295","Male","18-39","Other",NA,"SBP 120-129","Underweight","Smoke",0
"296","Female","18-39","Other",NA,"SBP 120-129","Underweight","Smoke",0
"297","Male","40-59","Other",NA,"SBP 120-129","Underweight","Smoke",0
"298","Female","40-59","Other",NA,"SBP 120-129","Underweight","Smoke",0
"299","Male","59+","Other",NA,"SBP 120-129","Underweight","Smoke",0
"300","Female","59+","Other",NA,"SBP 120-129","Underweight","Smoke",0
"301","Male","18-39","NH White","<HSG","SBP 130-139","Underweight","Smoke",0
"302","Female","18-39","NH White","<HSG","SBP 130-139","Underweight","Smoke",0
"303","Male","40-59","NH White","<HSG","SBP 130-139","Underweight","Smoke",0
"304","Female","40-59","NH White","<HSG","SBP 130-139","Underweight","Smoke",0
"305","Male","59+","NH White","<HSG","SBP 130-139","Underweight","Smoke",0
"306","Female","59+","NH White","<HSG","SBP 130-139","Underweight","Smoke",0
"307","Male","18-39","NH Black","<HSG","SBP 130-139","Underweight","Smoke",0
"308","Female","18-39","NH Black","<HSG","SBP 130-139","Underweight","Smoke",0
"309","Male","40-59","NH Black","<HSG","SBP 130-139","Underweight","Smoke",0
"310","Female","40-59","NH Black","<HSG","SBP 130-139","Underweight","Smoke",0
"311","Male","59+","NH Black","<HSG","SBP 130-139","Underweight","Smoke",0
"312","Female","59+","NH Black","<HSG","SBP 130-139","Underweight","Smoke",0
"313","Male","18-39","NH Asian","<HSG","SBP 130-139","Underweight","Smoke",0
"314","Female","18-39","NH Asian","<HSG","SBP 130-139","Underweight","Smoke",0
"315","Male","40-59","NH Asian","<HSG","SBP 130-139","Underweight","Smoke",0
"316","Female","40-59","NH Asian","<HSG","SBP 130-139","Underweight","Smoke",0
"317","Male","59+","NH Asian","<HSG","SBP 130-139","Underweight","Smoke",0
"318","Female","59+","NH Asian","<HSG","SBP 130-139","Underweight","Smoke",0
"319","Male","18-39","Hispanic","<HSG","SBP 130-139","Underweight","Smoke",0
"320","Female","18-39","Hispanic","<HSG","SBP 130-139","Underweight","Smoke",0
"321","Male","40-59","Hispanic","<HSG","SBP 130-139","Underweight","Smoke",0
"322","Female","40-59","Hispanic","<HSG","SBP 130-139","Underweight","Smoke",0
"323","Male","59+","Hispanic","<HSG","SBP 130-139","Underweight","Smoke",0
"324","Female","59+","Hispanic","<HSG","SBP 130-139","Underweight","Smoke",0
"325","Male","18-39","Other","<HSG","SBP 130-139","Underweight","Smoke",0
"326","Female","18-39","Other","<HSG","SBP 130-139","Underweight","Smoke",0
"327","Male","40-59","Other","<HSG","SBP 130-139","Underweight","Smoke",0
"328","Female","40-59","Other","<HSG","SBP 130-139","Underweight","Smoke",0
"329","Male","59+","Other","<HSG","SBP 130-139","Underweight","Smoke",0
"330","Female","59+","Other","<HSG","SBP 130-139","Underweight","Smoke",0
"331","Male","18-39","NH White","HSG/GED","SBP 130-139","Underweight","Smoke",0
"332","Female","18-39","NH White","HSG/GED","SBP 130-139","Underweight","Smoke",0
"333","Male","40-59","NH White","HSG/GED","SBP 130-139","Underweight","Smoke",0
"334","Female","40-59","NH White","HSG/GED","SBP 130-139","Underweight","Smoke",0
"335","Male","59+","NH White","HSG/GED","SBP 130-139","Underweight","Smoke",0
"336","Female","59+","NH White","HSG/GED","SBP 130-139","Underweight","Smoke",0
"337","Male","18-39","NH Black","HSG/GED","SBP 130-139","Underweight","Smoke",0
"338","Female","18-39","NH Black","HSG/GED","SBP 130-139","Underweight","Smoke",0
"339","Male","40-59","NH Black","HSG/GED","SBP 130-139","Underweight","Smoke",0
"340","Female","40-59","NH Black","HSG/GED","SBP 130-139","Underweight","Smoke",0
"341","Male","59+","NH Black","HSG/GED","SBP 130-139","Underweight","Smoke",0
"342","Female","59+","NH Black","HSG/GED","SBP 130-139","Underweight","Smoke",0
"343","Male","18-39","NH Asian","HSG/GED","SBP 130-139","Underweight","Smoke",0
"344","Female","18-39","NH Asian","HSG/GED","SBP 130-139","Underweight","Smoke",0
"345","Male","40-59","NH Asian","HSG/GED","SBP 130-139","Underweight","Smoke",0
"346","Female","40-59","NH Asian","HSG/GED","SBP 130-139","Underweight","Smoke",0
"347","Male","59+","NH Asian","HSG/GED","SBP 130-139","Underweight","Smoke",0
"348","Female","59+","NH Asian","HSG/GED","SBP 130-139","Underweight","Smoke",0
"349","Male","18-39","Hispanic","HSG/GED","SBP 130-139","Underweight","Smoke",0
"350","Female","18-39","Hispanic","HSG/GED","SBP 130-139","Underweight","Smoke",0
"351","Male","40-59","Hispanic","HSG/GED","SBP 130-139","Underweight","Smoke",0
"352","Female","40-59","Hispanic","HSG/GED","SBP 130-139","Underweight","Smoke",0
