ID1,NAME1,ID2,NAME2,ID3,NAME3
20,ANTINEOPLASTICS,397,MULTIKINASE INHIBITORS,NA,NA
20,ANTINEOPLASTICS,398,BCR-ABL TYROSINE KINASE INHIBITORS,NA,NA
20,ANTINEOPLASTICS,401,CD20 MONOCLONAL ANTIBODIES,NA,NA
20,ANTINEOPLASTICS,402,VEGF/VEGFR INHIBITORS,NA,NA
20,ANTINEOPLASTICS,403,MTOR INHIBITORS,NA,NA
20,ANTINEOPLASTICS,404,EGFR INHIBITORS,NA,NA
20,ANTINEOPLASTICS,405,HER2 INHIBITORS,NA,NA
20,ANTINEOPLASTICS,454,PROTEASOME INHIBITORS,NA,NA
20,ANTINEOPLASTICS,501,CDK 4/6 INHIBITORS,NA,NA
28,BIOLOGICALS,34,IN VIVO DIAGNOSTIC BIOLOGICALS,NA,NA
28,BIOLOGICALS,36,ERYTHROPOIESIS-STIMULATING AGENTS,NA,NA
40,CARDIOVASCULAR AGENTS,41,AGENTS FOR HYPERTENSIVE EMERGENCIES,NA,NA
40,CARDIOVASCULAR AGENTS,42,ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS,NA,NA
40,CARDIOVASCULAR AGENTS,43,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",NA,NA
40,CARDIOVASCULAR AGENTS,44,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",NA,NA
40,CARDIOVASCULAR AGENTS,45,ANTIANGINAL AGENTS,NA,NA
40,CARDIOVASCULAR AGENTS,46,ANTIARRHYTHMIC AGENTS,NA,NA
40,CARDIOVASCULAR AGENTS,46,ANTIARRHYTHMIC AGENTS,385,GROUP I ANTIARRHYTHMICS
40,CARDIOVASCULAR AGENTS,46,ANTIARRHYTHMIC AGENTS,386,GROUP II ANTIARRHYTHMICS
40,CARDIOVASCULAR AGENTS,46,ANTIARRHYTHMIC AGENTS,387,GROUP III ANTIARRHYTHMICS
40,CARDIOVASCULAR AGENTS,46,ANTIARRHYTHMIC AGENTS,388,GROUP IV ANTIARRHYTHMICS
40,CARDIOVASCULAR AGENTS,46,ANTIARRHYTHMIC AGENTS,389,GROUP V ANTIARRHYTHMICS
40,CARDIOVASCULAR AGENTS,47,BETA-ADRENERGIC BLOCKING AGENTS,274,"BETA BLOCKERS, CARDIOSELECTIVE"
40,CARDIOVASCULAR AGENTS,47,BETA-ADRENERGIC BLOCKING AGENTS,275,"BETA BLOCKERS, NON-CARDIOSELECTIVE"
40,CARDIOVASCULAR AGENTS,48,CALCIUM CHANNEL BLOCKING AGENTS,NA,NA
40,CARDIOVASCULAR AGENTS,49,DIURETICS,154,LOOP DIURETICS
40,CARDIOVASCULAR AGENTS,49,DIURETICS,155,POTASSIUM-SPARING DIURETICS
40,CARDIOVASCULAR AGENTS,49,DIURETICS,156,THIAZIDE AND THIAZIDE-LIKE DIURETICS
40,CARDIOVASCULAR AGENTS,49,DIURETICS,157,CARBONIC ANHYDRASE INHIBITORS
40,CARDIOVASCULAR AGENTS,50,INOTROPIC AGENTS,NA,NA
40,CARDIOVASCULAR AGENTS,51,MISCELLANEOUS CARDIOVASCULAR AGENTS,NA,NA
40,CARDIOVASCULAR AGENTS,52,PERIPHERAL VASODILATORS,NA,NA
40,CARDIOVASCULAR AGENTS,53,VASODILATORS,NA,NA
40,CARDIOVASCULAR AGENTS,54,VASOPRESSORS,NA,NA
40,CARDIOVASCULAR AGENTS,55,ANTIHYPERTENSIVE COMBINATIONS,NA,NA
40,CARDIOVASCULAR AGENTS,55,ANTIHYPERTENSIVE COMBINATIONS,467,ACE INHIBITORS WITH THIAZIDES
40,CARDIOVASCULAR AGENTS,55,ANTIHYPERTENSIVE COMBINATIONS,468,ANTIADRENERGIC AGENTS (CENTRAL) WITH THIAZIDES
40,CARDIOVASCULAR AGENTS,55,ANTIHYPERTENSIVE COMBINATIONS,469,ANTIADRENERGIC AGENTS (PERIPHERAL) WITH THIAZIDES
40,CARDIOVASCULAR AGENTS,55,ANTIHYPERTENSIVE COMBINATIONS,470,MISCELLANEOUS ANTIHYPERTENSIVE COMBINATIONS
40,CARDIOVASCULAR AGENTS,55,ANTIHYPERTENSIVE COMBINATIONS,472,ETA BLOCKERS WITH THIAZIDES
40,CARDIOVASCULAR AGENTS,55,ANTIHYPERTENSIVE COMBINATIONS,473,ANGIOTENSIN II INHIBITORS WITH THIAZIDES
40,CARDIOVASCULAR AGENTS,55,ANTIHYPERTENSIVE COMBINATIONS,475,POTASSIUM SPARING DIURETICS WITH THIAZIDES
40,CARDIOVASCULAR AGENTS,55,ANTIHYPERTENSIVE COMBINATIONS,476,ACE INHIBITORS WITH CALCIUM CHANNEL BLOCKING AGENTS
40,CARDIOVASCULAR AGENTS,55,ANTIHYPERTENSIVE COMBINATIONS,479,ANGIOTENSIN II INHIBITORS WITH CALCIUM CHANNEL BLOCKERS
40,CARDIOVASCULAR AGENTS,56,ANGIOTENSIN II INHIBITORS,NA,NA
40,CARDIOVASCULAR AGENTS,303,AGENTS FOR PULMONARY HYPERTENSION,NA,NA
40,CARDIOVASCULAR AGENTS,340,ALDOSTERONE RECEPTOR ANTAGONISTS,NA,NA
40,CARDIOVASCULAR AGENTS,342,RENIN INHIBITORS,NA,NA
40,CARDIOVASCULAR AGENTS,430,ANTICHOLINERGIC CHRONOTROPIC AGENTS,NA,NA
40,CARDIOVASCULAR AGENTS,433,CATECHOLAMINES,NA,NA
40,CARDIOVASCULAR AGENTS,482,ANGIOTENSIN RECEPTOR BLOCKERS AND NEPRILYSIN INHIBITORS,NA,NA
40,CARDIOVASCULAR AGENTS,483,NEPRILYSIN INHIBITORS,NA,NA
57,CENTRAL NERVOUS SYSTEM AGENTS,58,ANALGESICS,59,MISCELLANEOUS ANALGESICS
57,CENTRAL NERVOUS SYSTEM AGENTS,58,ANALGESICS,60,NARCOTIC ANALGESICS
57,CENTRAL NERVOUS SYSTEM AGENTS,58,ANALGESICS,61,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS
57,CENTRAL NERVOUS SYSTEM AGENTS,58,ANALGESICS,62,SALICYLATES
57,CENTRAL NERVOUS SYSTEM AGENTS,58,ANALGESICS,63,ANALGESIC COMBINATIONS
57,CENTRAL NERVOUS SYSTEM AGENTS,58,ANALGESICS,191,NARCOTIC ANALGESIC COMBINATIONS
57,CENTRAL NERVOUS SYSTEM AGENTS,58,ANALGESICS,193,ANTIMIGRAINE AGENTS
57,CENTRAL NERVOUS SYSTEM AGENTS,58,ANALGESICS,278,COX-2 INHIBITORS
57,CENTRAL NERVOUS SYSTEM AGENTS,58,ANALGESICS,502,CGRP INHIBITORS
57,CENTRAL NERVOUS SYSTEM AGENTS,64,ANTICONVULSANTS,199,HYDANTOIN ANTICONVULSANTS
57,CENTRAL NERVOUS SYSTEM AGENTS,64,ANTICONVULSANTS,200,SUCCINIMIDE ANTICONVULSANTS
57,CENTRAL NERVOUS SYSTEM AGENTS,64,ANTICONVULSANTS,201,BARBITURATE ANTICONVULSANTS
57,CENTRAL NERVOUS SYSTEM AGENTS,64,ANTICONVULSANTS,203,BENZODIAZEPINE ANTICONVULSANTS
57,CENTRAL NERVOUS SYSTEM AGENTS,64,ANTICONVULSANTS,204,MISCELLANEOUS ANTICONVULSANTS
57,CENTRAL NERVOUS SYSTEM AGENTS,64,ANTICONVULSANTS,311,DIBENZAZEPINE ANTICONVULSANTS
57,CENTRAL NERVOUS SYSTEM AGENTS,64,ANTICONVULSANTS,345,FATTY ACID DERIVATIVE ANTICONVULSANTS
57,CENTRAL NERVOUS SYSTEM AGENTS,64,ANTICONVULSANTS,346,GAMMA-AMINOBUTYRIC ACID REUPTAKE INHIBITORS
57,CENTRAL NERVOUS SYSTEM AGENTS,64,ANTICONVULSANTS,347,GAMMA-AMINOBUTYRIC ACID ANALOGS
57,CENTRAL NERVOUS SYSTEM AGENTS,64,ANTICONVULSANTS,348,TRIAZINE ANTICONVULSANTS
57,CENTRAL NERVOUS SYSTEM AGENTS,64,ANTICONVULSANTS,349,CARBAMATE ANTICONVULSANTS
57,CENTRAL NERVOUS SYSTEM AGENTS,64,ANTICONVULSANTS,350,PYRROLIDINE ANTICONVULSANTS
57,CENTRAL NERVOUS SYSTEM AGENTS,64,ANTICONVULSANTS,351,CARBONIC ANHYDRASE INHIBITOR ANTICONVULSANTS
57,CENTRAL NERVOUS SYSTEM AGENTS,64,ANTICONVULSANTS,456,AMPA RECEPTOR ANTAGONISTS
57,CENTRAL NERVOUS SYSTEM AGENTS,65,ANTIEMETIC/ANTIVERTIGO AGENTS,195,5HT3 RECEPTOR ANTAGONISTS
57,CENTRAL NERVOUS SYSTEM AGENTS,65,ANTIEMETIC/ANTIVERTIGO AGENTS,196,PHENOTHIAZINE ANTIEMETICS
57,CENTRAL NERVOUS SYSTEM AGENTS,65,ANTIEMETIC/ANTIVERTIGO AGENTS,197,ANTICHOLINERGIC ANTIEMETICS
57,CENTRAL NERVOUS SYSTEM AGENTS,65,ANTIEMETIC/ANTIVERTIGO AGENTS,198,MISCELLANEOUS ANTIEMETICS
57,CENTRAL NERVOUS SYSTEM AGENTS,65,ANTIEMETIC/ANTIVERTIGO AGENTS,481,NK1 RECEPTOR ANTAGONISTS
57,CENTRAL NERVOUS SYSTEM AGENTS,66,ANTIPARKINSON AGENTS,205,ANTICHOLINERGIC ANTIPARKINSON AGENTS
57,CENTRAL NERVOUS SYSTEM AGENTS,66,ANTIPARKINSON AGENTS,276,DOPAMINERGIC ANTIPARKINSONISM AGENTS
57,CENTRAL NERVOUS SYSTEM AGENTS,67,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS",68,BARBITURATES
57,CENTRAL NERVOUS SYSTEM AGENTS,67,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS",69,BENZODIAZEPINES
57,CENTRAL NERVOUS SYSTEM AGENTS,67,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS",70,"MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS"
57,CENTRAL NERVOUS SYSTEM AGENTS,71,CNS STIMULANTS,NA,NA
57,CENTRAL NERVOUS SYSTEM AGENTS,72,GENERAL ANESTHETICS,NA,NA
57,CENTRAL NERVOUS SYSTEM AGENTS,73,MUSCLE RELAXANTS,178,SKELETAL MUSCLE RELAXANTS
57,CENTRAL NERVOUS SYSTEM AGENTS,73,MUSCLE RELAXANTS,179,SKELETAL MUSCLE RELAXANT COMBINATIONS
57,CENTRAL NERVOUS SYSTEM AGENTS,80,MISCELLANEOUS CENTRAL NERVOUS SYSTEM AGENTS,NA,NA
57,CENTRAL NERVOUS SYSTEM AGENTS,253,ANOREXIANTS,NA,NA
57,CENTRAL NERVOUS SYSTEM AGENTS,312,CHOLINERGIC AGONISTS,NA,NA
57,CENTRAL NERVOUS SYSTEM AGENTS,313,CHOLINESTERASE INHIBITORS,NA,NA
57,CENTRAL NERVOUS SYSTEM AGENTS,378,DRUGS USED IN ALCOHOL DEPENDENCE,NA,NA
57,CENTRAL NERVOUS SYSTEM AGENTS,496,VMAT2 INHIBITORS,NA,NA
81,COAGULATION MODIFIERS,82,ANTICOAGULANTS,261,HEPARINS
81,COAGULATION MODIFIERS,82,ANTICOAGULANTS,262,COUMARINS AND INDANEDIONES
81,COAGULATION MODIFIERS,82,ANTICOAGULANTS,283,THROMBIN INHIBITORS
81,COAGULATION MODIFIERS,82,ANTICOAGULANTS,285,FACTOR XA INHIBITORS
81,COAGULATION MODIFIERS,83,ANTIPLATELET AGENTS,211,PLATELET AGGREGATION INHIBITORS
81,COAGULATION MODIFIERS,85,MISCELLANEOUS COAGULATION MODIFIERS,NA,NA
81,COAGULATION MODIFIERS,488,ANTICOAGULANT REVERSAL AGENTS,NA,NA
87,GASTROINTESTINAL AGENTS,88,ANTACIDS,NA,NA
87,GASTROINTESTINAL AGENTS,90,ANTIDIARRHEALS,NA,NA
87,GASTROINTESTINAL AGENTS,91,DIGESTIVE ENZYMES,NA,NA
87,GASTROINTESTINAL AGENTS,92,GALLSTONE SOLUBILIZING AGENTS,NA,NA
87,GASTROINTESTINAL AGENTS,93,GI STIMULANTS,NA,NA
87,GASTROINTESTINAL AGENTS,94,H2 ANTAGONISTS,NA,NA
87,GASTROINTESTINAL AGENTS,95,LAXATIVES,NA,NA
87,GASTROINTESTINAL AGENTS,96,MISCELLANEOUS GI AGENTS,NA,NA
87,GASTROINTESTINAL AGENTS,272,PROTON PUMP INHIBITORS,NA,NA
87,GASTROINTESTINAL AGENTS,277,5-AMINOSALICYLATES,NA,NA
87,GASTROINTESTINAL AGENTS,354,H. PYLORI ERADICATION AGENTS,NA,NA
87,GASTROINTESTINAL AGENTS,355,FUNCTIONAL BOWEL DISORDER AGENTS,NA,NA
87,GASTROINTESTINAL AGENTS,355,FUNCTIONAL BOWEL DISORDER AGENTS,89,ANTICHOLINERGICS/ANTISPASMODICS
87,GASTROINTESTINAL AGENTS,355,FUNCTIONAL BOWEL DISORDER AGENTS,356,SEROTONINERGIC NEUROENTERIC MODULATORS
87,GASTROINTESTINAL AGENTS,355,FUNCTIONAL BOWEL DISORDER AGENTS,362,CHLORIDE CHANNEL ACTIVATORS
87,GASTROINTESTINAL AGENTS,355,FUNCTIONAL BOWEL DISORDER AGENTS,375,PERIPHERAL OPIOID RECEPTOR ANTAGONISTS
87,GASTROINTESTINAL AGENTS,355,FUNCTIONAL BOWEL DISORDER AGENTS,455,OPIOID RECEPTOR ANTAGONISTS
87,GASTROINTESTINAL AGENTS,355,FUNCTIONAL BOWEL DISORDER AGENTS,490,ERIPHERAL OPIOID RECEPTOR MIXED AGONISTS/ANTAGONISTS
97,HORMONES/HORMONE MODIFIERS,98,ADRENAL CORTICAL STEROIDS,300,CORTICOTROPIN
97,HORMONES/HORMONE MODIFIERS,98,ADRENAL CORTICAL STEROIDS,301,GLUCOCORTICOIDS
97,HORMONES/HORMONE MODIFIERS,98,ADRENAL CORTICAL STEROIDS,302,MINERALOCORTICOIDS
97,HORMONES/HORMONE MODIFIERS,101,SEX HORMONES,102,CONTRACEPTIVES
97,HORMONES/HORMONE MODIFIERS,101,SEX HORMONES,182,ANDROGENS AND ANABOLIC STEROIDS
97,HORMONES/HORMONE MODIFIERS,101,SEX HORMONES,183,ESTROGENS
97,HORMONES/HORMONE MODIFIERS,101,SEX HORMONES,184,GONADOTROPINS
97,HORMONES/HORMONE MODIFIERS,101,SEX HORMONES,185,PROGESTINS
97,HORMONES/HORMONE MODIFIERS,101,SEX HORMONES,186,SEX HORMONE COMBINATIONS
97,HORMONES/HORMONE MODIFIERS,101,SEX HORMONES,187,MISCELLANEOUS SEX HORMONES
97,HORMONES/HORMONE MODIFIERS,101,SEX HORMONES,279,GONADOTROPIN-RELEASING HORMONE AND ANALOGS
97,HORMONES/HORMONE MODIFIERS,103,THYROID HORMONES,NA,NA
97,HORMONES/HORMONE MODIFIERS,288,5-ALPHA-REDUCTASE INHIBITORS,NA,NA
97,HORMONES/HORMONE MODIFIERS,295,GROWTH HORMONES,NA,NA
97,HORMONES/HORMONE MODIFIERS,377,PROLACTIN INHIBITORS,NA,NA
97,HORMONES/HORMONE MODIFIERS,411,CALCITONIN,NA,NA
97,HORMONES/HORMONE MODIFIERS,413,ANTIGONADOTROPIC AGENTS,NA,NA
97,HORMONES/HORMONE MODIFIERS,414,ANTIDIURETIC HORMONES,NA,NA
97,HORMONES/HORMONE MODIFIERS,416,SOMATOSTATIN AND SOMATOSTATIN ANALOGS,NA,NA
97,HORMONES/HORMONE MODIFIERS,417,SELECTIVE ESTROGEN RECEPTOR MODULATORS,NA,NA
97,HORMONES/HORMONE MODIFIERS,418,PARATHYROID HORMONE AND ANALOGS,NA,NA
97,HORMONES/HORMONE MODIFIERS,420,ANTIANDROGENS,NA,NA
97,HORMONES/HORMONE MODIFIERS,422,ANTITHYROID AGENTS,NA,NA
97,HORMONES/HORMONE MODIFIERS,423,AROMATASE INHIBITORS,NA,NA
97,HORMONES/HORMONE MODIFIERS,426,SYNTHETIC OVULATION STIMULANTS,NA,NA
97,HORMONES/HORMONE MODIFIERS,495,CALCIMIMETICS,NA,NA
105,MISCELLANEOUS AGENTS,106,ANTIDOTES,NA,NA
105,MISCELLANEOUS AGENTS,107,CHELATING AGENTS,NA,NA
105,MISCELLANEOUS AGENTS,108,CHOLINERGIC MUSCLE STIMULANTS,NA,NA
105,MISCELLANEOUS AGENTS,109,LOCAL INJECTABLE ANESTHETICS,NA,NA
105,MISCELLANEOUS AGENTS,110,MISCELLANEOUS UNCATEGORIZED AGENTS,NA,NA
105,MISCELLANEOUS AGENTS,111,PSORALENS,NA,NA
105,MISCELLANEOUS AGENTS,114,ILLICIT (STREET) DRUGS,NA,NA
105,MISCELLANEOUS AGENTS,192,ANTIRHEUMATICS,NA,NA
105,MISCELLANEOUS AGENTS,270,ANTIPSORIATICS,NA,NA
105,MISCELLANEOUS AGENTS,284,VISCOSUPPLEMENTATION AGENTS,NA,NA
105,MISCELLANEOUS AGENTS,320,SMOKING CESSATION AGENTS,NA,NA
105,MISCELLANEOUS AGENTS,460,PHOSPHATE BINDERS,NA,NA
105,MISCELLANEOUS AGENTS,497,CATION EXCHANGE RESINS,NA,NA
113,GENITOURINARY TRACT AGENTS,263,ERECTILE DYSFUNCTION AGENTS,NA,NA
113,GENITOURINARY TRACT AGENTS,264,URINARY ANTISPASMODICS,NA,NA
113,GENITOURINARY TRACT AGENTS,265,URINARY PH MODIFIERS,NA,NA
113,GENITOURINARY TRACT AGENTS,266,MISCELLANEOUS GENITOURINARY TRACT AGENTS,NA,NA
113,GENITOURINARY TRACT AGENTS,412,UTEROTONIC AGENTS,NA,NA
113,GENITOURINARY TRACT AGENTS,427,TOCOLYTIC AGENTS,NA,NA
115,NUTRITIONAL PRODUCTS,116,IRON PRODUCTS,NA,NA
115,NUTRITIONAL PRODUCTS,117,MINERALS AND ELECTROLYTES,NA,NA
115,NUTRITIONAL PRODUCTS,119,VITAMINS,NA,NA
115,NUTRITIONAL PRODUCTS,120,VITAMIN AND MINERAL COMBINATIONS,NA,NA
115,NUTRITIONAL PRODUCTS,121,INTRAVENOUS NUTRITIONAL PRODUCTS,NA,NA
122,RESPIRATORY AGENTS,123,ANTIHISTAMINES,NA,NA
122,RESPIRATORY AGENTS,124,ANTITUSSIVES,NA,NA
122,RESPIRATORY AGENTS,125,BRONCHODILATORS,126,METHYLXANTHINES
122,RESPIRATORY AGENTS,125,BRONCHODILATORS,180,ADRENERGIC BRONCHODILATORS
122,RESPIRATORY AGENTS,125,BRONCHODILATORS,181,BRONCHODILATOR COMBINATIONS
122,RESPIRATORY AGENTS,125,BRONCHODILATORS,299,ANTICHOLINERGIC BRONCHODILATORS
122,RESPIRATORY AGENTS,127,DECONGESTANTS,NA,NA
122,RESPIRATORY AGENTS,128,EXPECTORANTS,NA,NA
122,RESPIRATORY AGENTS,129,MISCELLANEOUS RESPIRATORY AGENTS,NA,NA
122,RESPIRATORY AGENTS,130,RESPIRATORY INHALANT PRODUCTS,296,INHALED CORTICOSTEROIDS
122,RESPIRATORY AGENTS,130,RESPIRATORY INHALANT PRODUCTS,297,MUCOLYTICS
122,RESPIRATORY AGENTS,130,RESPIRATORY INHALANT PRODUCTS,298,MAST CELL STABILIZERS
122,RESPIRATORY AGENTS,130,RESPIRATORY INHALANT PRODUCTS,407,INHALED ANTI-INFECTIVES
122,RESPIRATORY AGENTS,131,ANTIASTHMATIC COMBINATIONS,NA,NA
122,RESPIRATORY AGENTS,132,UPPER RESPIRATORY COMBINATIONS,NA,NA
122,RESPIRATORY AGENTS,243,LEUKOTRIENE MODIFIERS,NA,NA
122,RESPIRATORY AGENTS,435,SELECTIVE PHOSPHODIESTERASE-4 INHIBITORS,NA,NA
133,TOPICAL AGENTS,134,ANORECTAL PREPARATIONS,NA,NA
133,TOPICAL AGENTS,135,ANTISEPTIC AND GERMICIDES,NA,NA
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,137,TOPICAL ANTI-INFECTIVES
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,138,TOPICAL STEROIDS
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,139,TOPICAL ANESTHETICS
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,140,MISCELLANEOUS TOPICAL AGENTS
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,141,TOPICAL STEROIDS WITH ANTI-INFECTIVES
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,143,TOPICAL ACNE AGENTS
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,144,TOPICAL ANTIPSORIATICS
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,248,TOPICAL EMOLLIENTS
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,290,TOPICAL ANTIBIOTICS
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,291,TOPICAL ANTIVIRALS
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,292,TOPICAL ANTIFUNGALS
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,380,TOPICAL DEBRIDING AGENTS
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,381,TOPICAL DEPIGMENTING AGENTS
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,382,TOPICAL ANTIHISTAMINES
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,395,TOPICAL KERATOLYTICS
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,448,TOPICAL NON-STEROIDAL ANTI-INFLAMMATORIES
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,450,TOPICAL ANTINEOPLASTICS
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,453,TOPICAL RUBEFACIENT
133,TOPICAL AGENTS,136,DERMATOLOGICAL AGENTS,461,TOPICAL ANTI-ROSACEA AGENTS
133,TOPICAL AGENTS,146,MOUTH AND THROAT PRODUCTS,NA,NA
133,TOPICAL AGENTS,147,OPHTHALMIC PREPARATIONS,163,OPHTHALMIC ANTI-INFECTIVES
133,TOPICAL AGENTS,147,OPHTHALMIC PREPARATIONS,164,OPHTHALMIC GLAUCOMA AGENTS
133,TOPICAL AGENTS,147,OPHTHALMIC PREPARATIONS,165,OPHTHALMIC STEROIDS
133,TOPICAL AGENTS,147,OPHTHALMIC PREPARATIONS,166,OPHTHALMIC STEROIDS WITH ANTI-INFECTIVES
133,TOPICAL AGENTS,147,OPHTHALMIC PREPARATIONS,167,OPHTHALMIC ANTI-INFLAMMATORY AGENTS
133,TOPICAL AGENTS,147,OPHTHALMIC PREPARATIONS,168,OPHTHALMIC LUBRICANTS AND IRRIGATIONS
133,TOPICAL AGENTS,147,OPHTHALMIC PREPARATIONS,169,MISCELLANEOUS OPHTHALMIC AGENTS
